1,Survivor: Borneo,16
2,Survivor: The Australian Outback,16
3,Survivor: Africa,16
4,Survivor: Marquesas,16
5,Survivor: Thailand,16
6,Survivor: The Amazon,16
7,Survivor: Pearl Islands,16
8,Survivor: All-Stars,18
9,Survivor: Vanuatu,18
10,Survivor: Palau,20
11,Survivor: Guatemala,18
12,Survivor: Panama,16
13,Survivor: Cook Islands,20
14,Survivor: Fiji,19
15,Survivor: China,16
16,Survivor: Micronesia,20
17,Survivor: Gabon,18
18,Survivor: Tocantins,16
19,Survivor: Samoa,20
20,Survivor: Heroes vs. Villains,20
21,Survivor: Nicaragua,20
22,Survivor: Redemption Island,18
23,Survivor: South Pacific,18
24,Survivor: One World,18
25,Survivor: Philippines,18
26,Survivor: Caramoan,20
27,Survivor: Blood vs. Water,20
28,Survivor: Cagayan,18
29,Survivor: San Juan del Sur,18
30,Survivor: Worlds Apart,18
31,Survivor: Cambodia,20
32,Survivor: Kaôh Rōng,18
33,Survivor: Millennials vs. Gen X,20
34,Survivor: Game Changers,20
35,Survivor: Heroes vs. Healers vs. Hustlers,18
36,Survivor: Ghost Island,20
37,Survivor: David vs. Goliath,20
38,Survivor: Edge of Extinction,18
39,Survivor: Island of the Idols,20
40,Survivor: Winners at War,20
41,Survivor 41,18
42,Survivor 42,18
