1,Tagi,8,0,0
1,Pagong,8,0,2
1,Rattana,10,1,1
2,Kucha,8,0,2
2,Ogakor,8,0,1
2,Barramundi,10,1,2
3,Boran,8,0,2
3,Samburu,8,0,1
3,Boran,6,0,1
3,Samburu,6,0,0
3,Moto Maji,10,1,1
4,Maraamu,8,0,2
4,Rotu,8,0,0
4,Maraamu,5,0,0
4,Rotu,8,0,2
4,Soliantu,10,1,2
5,Chuay Gahn,8,0,2
5,Sook Jai,8,0,1
5,Chuay Jai,8,1,1
6,Tambaqui,8,0,1
6,Jaburu,8,0,2
6,Tambaqui,6,0,0
6,Jaburu,6,0,1
6,Jacaré,10,1,1
7,Morgan,8,0,2
7,Drake,8,0,1
7,Balboa,10,1,2
8,Saboga,6,0,0
8,Mogo Mogo,6,0,1
8,Chapera,6,0,1
8,Mogo Mogo,7,0,1
8,Chapera,7,0,1
8,Chapera,5,0,1
8,Mogo Mogo,5,0,1
8,Chaboga Mogo,9,1,2
9,Lopevi,9,0,1
9,Yasur,9,0,0
9,Yasur,7,0,1
9,Lopevi,6,0,0
9,Alinta,10,1,1
10,Ulong,9,0,2
10,Koror,9,0,1
10,Koror,9,1,1
11,Nakúm,9,0,0
11,Yaxhá,9,0,2
11,Nakúm,8,0,1
11,Yaxhá,7,0,0
11,Xhakúm,10,1,1
12,Casaya,4,0,1
12,Bayoneta,4,0,0
12,Viveros,4,0,1
12,La Mina,4,0,1
12,Casaya,8,0,3
12,La Mina,7,0,0
12,Gitanos,10,1,2
13,Manihiki,5,0,5
13,Aitutaki,5,0,5
13,Puka Puka,5,0,5
13,Rarotonga,5,0,0
13,Aitutaki,9,0,6
13,Rarotonga,9,0,7
13,Rarotonga,8,0,4
13,Aitutaki,4,0,4
13,Aitutonga,9,1,5
14,Ravu,10,0,8
14,Moto,9,0,7
14,Ravu,6,0,5
14,Moto,7,0,6
14,Bula Bula,10,1,9
15,Zhan Hu,8,0,3
15,Fei Long,8,0,1
15,Zhan Hu,5,0,2
15,Fei Long,7,0,2
15,Hae Da Fung,10,1,3
16,Malakal,10,0,4
16,Airai,10,0,1
16,Malakal,8,0,2
16,Airai,8,0,2
16,Dabu,10,1,4
17,Fang,9,0,4
17,Kota,9,0,2
17,Fang,8,0,3
17,Kota,7,0,2
17,Kota,5,0,4
17,Fang,5,0,0
17,Nobag,9,1,3
18,Jalapao,8,0,2
18,Timbira,8,0,2
18,Forza,10,1,1
19,Foa Foa,10,0,2
19,Galu,10,0,5
19,Aiga,12,1,4
20,Heroes,10,0,2
20,Villains,10,0,1
20,Yin Yang,10,1,1
21,Espada,10,0,2
21,La Flor,10,0,3
21,Espada,8,0,3
21,La Flor,8,0,2
21,Libertad,12,1,3
22,Ometepe,9,0,2
22,Zapatera,9,0,1
22,Murlonio,12,1,1
23,Savaii,9,0,3
23,Upolu,9,0,4
23,Te Tuna,12,1,3
24,Salani,9,0,3
24,Manono,9,0,2
24,Manono,7,0,3
24,Salani,7,0,1
24,Tikiano,12,1,4
25,Matsing,6,0,2
25,Kalabaw,6,0,1
25,Tandang,6,0,2
25,Kalabaw,7,0,1
25,Tandang,7,0,2
25,Dangrayne,11,1,2
26,Bikal,11,0,3
26,Gota,9,0,1
26,Bikal,8,0,1
26,Gota,6,0,1
26,Enil Edam,12,1,2
27,Galang,10,0,1
27,Tadhana,10,0,1
27,Galang,9,0,1
27,Tadhana,9,0,1
27,Galang,6,0,0
27,Tadhana,6,0,1
27,Kasama,11,1,1
28,Luzon,6,0,2
28,Solana,6,0,2
28,Aparri,6,0,2
28,Solana,7,0,2
28,Aparri,7,0,2
28,Solarrion,11,1,2
29,Coyopa,9,0,2
29,Hunahpu,9,0,2
29,Coyopa,7,0,0
29,Hunahpu,7,0,2
29,Huyopa,12,1,2
30,Masaya,7,0,4
30,Nagarote,5,0,1
30,Escameca,6,0,0
30,Nagarote,7,0,2
30,Escameca,7,0,1
30,Merica,12,1,2
31,Ta Keo,11,0,5
31,Bayon,9,0,2
31,Angkor,5,0,3
31,Bayon,7,0,3
31,Ta Keo,6,0,0
31,Ta Keo,8,0,3
31,Bayon,6,0,1
31,Orkun,13,1,3
32,To Tang,6,0,2
32,Chan Loh,6,0,1
32,Gondol,6,0,1
32,Gondol,7,0,2
32,Chan Loh,6,0,1
32,Dara,11,1,2
33,Takali,9,0,3
33,Vanua,11,0,4
33,Vanua,5,0,1
33,Takali,4,0,1
33,Ikabula,7,0,2
33,Vinaka,13,1,1
34,Mana,10,0,2
34,Nuku,10,0,3
34,Mana,6,0,1
34,Nuku,6,0,2
34,Tavua,6,0,2
34,Nuku,8,0,3
34,Mana,7,0,2
34,Maku Maku,13,1,4
35,Levu,6,0,1
35,Yawa,6,0,3
35,Soko,6,0,2
35,Levu,5,0,4
35,Soko,5,0,1
35,Yawa,5,0,0
35,Solewa,12,1,3
36,Malolo,10,0,3
36,Naviti,10,0,2
36,Naviti,9,0,3
36,Malolo,9,0,1
36,Malolo,5,0,2
36,Naviti,5,0,0
36,Yanuya,5,0,2
36,Lavita,13,1,3
37,David,10,0,5
37,Goliath,10,0,4
37,Vuku,6,0,3
